#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
433,40,Alexander Kamminga 40,29,38,3:45.910,"39,8",1:51:44.066,11:53:40.845,47,145,31,,SW-51561,0,,M
434,2,Jan Kranczoch 2,28,38,3:45.731,"39,9",1:51:44.182,11:53:40.961,50,155,31,,RF-87962,0,,M
435,41,Hanno Habighorst 41,37,38,3:06.541,"48,2",1:51:45.249,11:53:42.028,48,101,31,,FL-67553,0,,M
436,28,Ymte Sijbrandij 28,38,38,3:01.759,"49,5",1:52:15.326,11:54:12.105,42,147,28,,FL-59825,0,,M
437,35,Maarten Sijbrandij 35,30,38,3:47.679,"39,5",1:52:45.434,11:54:42.213,48,188,34,,FX-12737,0,,M
438,12,Nici Walde 12,39,39,2:57.586,"50,7",1:53:06.021,11:55:02.800,49,127,31,,RS-39204,0,,F
439,13,Daniel Fenn 13,37,39,2:43.896,"54,9",1:53:41.765,11:55:38.544,42,164,32,,RS-44911,0,,M
440,1,Christian Winkgen 1,35,39,3:22.921,"44,4",1:54:03.478,11:56:00.257,30,163,45,,FR-20127,0,,M
441,30,Bo Gustavsson 30,37,39,3:10.507,"47,2",1:54:05.925,11:56:02.704,53,119,45,,CK-85561,0,,M
442,24,Peter Coppens 24,23,39,3:00.711,"49,8",1:54:10.561,11:56:07.340,32,125,42,,FL-79890,0,,M
443,6,Bernhard Böhler 6,36,39,3:08.106,"47,8",1:54:25.057,11:56:21.836,27,213,39,,TH-71610,0,,M
444,41,Hanno Habighorst 41,38,39,3:02.925,"49,2",1:54:48.174,11:56:44.953,41,110,29,,FL-67553,0,,M
445,7,Swannette Tempelman 7,32,39,3:45.478,"39,9",1:55:13.106,11:57:09.885,54,172,26,,HL-85304,0,,F
446,28,Ymte Sijbrandij 28,39,39,3:01.970,"49,5",1:55:17.296,11:57:14.075,43,147,26,,FL-59825,0,,M
447,2,Jan Kranczoch 2,29,39,3:55.585,"38,2",1:55:39.767,11:57:36.546,49,154,26,,RF-87962,0,,M
448,4,Jan van Steeg 4,29,39,4:05.858,"36,6",1:55:41.193,11:57:37.972,45,147,26,,RG-75621,0,,M
449,40,Alexander Kamminga 40,30,39,3:57.266,"37,9",1:55:41.332,11:57:38.111,44,138,26,,SW-51561,0,,M
450,12,Nici Walde 12,40,40,2:51.672,"52,4",1:55:57.693,11:57:54.472,48,125,28,,RS-39204,0,,F
451,35,Maarten Sijbrandij 35,31,40,3:27.600,"43,4",1:56:13.034,11:58:09.813,46,187,28,,FX-12737,0,,M
452,13,Daniel Fenn 13,38,40,2:46.338,"54,1",1:56:28.103,11:58:24.882,41,165,28,,RS-44911,0,,M
453,24,Peter Coppens 24,24,40,2:57.423,"50,7",1:57:07.984,11:59:04.763,44,127,26,,FL-79890,0,,M
454,30,Bo Gustavsson 30,38,40,3:05.126,"48,6",1:57:11.051,11:59:07.830,54,118,25,,CK-85561,0,,M
455,1,Christian Winkgen 1,36,40,3:24.898,"43,9",1:57:28.376,11:59:25.155,35,164,24,,FR-20127,0,,M
456,41,Hanno Habighorst 41,39,40,3:00.595,"49,8",1:57:48.769,11:59:45.548,47,108,26,,FL-67553,0,,M
457,28,Ymte Sijbrandij 28,40,40,3:02.771,"49,2",1:58:20.067,12:00:16.846,44,146,29,,FL-59825,0,,M
458,12,Nici Walde 12,41,41,2:51.436,"52,5",1:58:49.129,12:00:45.908,50,125,25,,RS-39204,0,,F
459,7,Swannette Tempelman 7,33,41,3:44.498,"40,1",1:58:57.604,12:00:54.383,56,171,27,,HL-85304,0,,F
460,13,Daniel Fenn 13,39,41,2:45.310,"54,4",1:59:13.413,12:01:10.192,43,165,26,,RS-44911,0,,M
461,2,Jan Kranczoch 2,30,41,3:55.687,"38,2",1:59:35.454,12:01:32.233,50,154,26,,RF-87962,0,,M
462,40,Alexander Kamminga 40,31,41,3:55.107,"38,3",1:59:36.439,12:01:33.218,49,147,26,,SW-51561,0,,M
463,35,Maarten Sijbrandij 35,32,41,3:34.885,"41,9",1:59:47.919,12:01:44.698,49,188,28,,FX-12737,0,,M
464,4,Jan van Steeg 4,30,41,4:09.176,"36,1",1:59:50.369,12:01:47.148,52,146,28,,RG-75621,0,,M
465,24,Peter Coppens 24,25,41,3:00.559,"49,8",2:00:08.543,12:02:05.322,34,126,35,,FL-79890,0,,M
466,30,Bo Gustavsson 30,39,41,3:04.300,"48,8",2:00:15.351,12:02:12.130,47,118,34,,CK-85561,0,,M
467,41,Hanno Habighorst 41,40,41,3:02.482,"49,3",2:00:51.251,12:02:48.030,43,108,27,,FL-67553,0,,M
468,1,Christian Winkgen 1,37,41,3:26.909,"43,5",2:00:55.285,12:02:52.064,33,161,29,,FR-20127,0,,M
469,28,Ymte Sijbrandij 28,41,41,3:00.583,"49,8",2:01:20.650,12:03:17.429,41,147,33,,FL-59825,0,,M
470,12,Nici Walde 12,42,42,2:53.739,"51,8",2:01:42.868,12:03:39.647,47,126,34,,RS-39204,0,,F
471,13,Daniel Fenn 13,40,42,2:45.629,"54,3",2:01:59.042,12:03:55.821,43,164,29,,RS-44911,0,,M
472,7,Swannette Tempelman 7,34,42,3:44.575,"40,1",2:02:42.179,12:04:38.958,56,171,25,,HL-85304,0,,F
473,24,Peter Coppens 24,26,42,3:02.341,"49,4",2:03:10.884,12:05:07.663,42,126,24,,FL-79890,0,,M
474,30,Bo Gustavsson 30,40,42,3:07.011,"48,1",2:03:22.362,12:05:19.141,51,119,26,,CK-85561,0,,M
475,35,Maarten Sijbrandij 35,33,42,3:34.582,"41,9",2:03:22.501,12:05:19.280,49,189,26,,FX-12737,0,,M
476,2,Jan Kranczoch 2,31,42,3:54.971,"38,3",2:03:30.425,12:05:27.204,52,154,28,,RF-87962,0,,M
477,40,Alexander Kamminga 40,32,42,3:55.062,"38,3",2:03:31.501,12:05:28.280,48,145,28,,SW-51561,0,,M
478,41,Hanno Habighorst 41,41,42,3:06.900,"48,2",2:03:58.151,12:05:54.930,49,107,26,,FL-67553,0,,M
479,4,Jan van Steeg 4,31,42,4:21.639,"34,4",2:04:12.008,12:06:08.787,51,147,25,,RG-75621,0,,M
480,28,Ymte Sijbrandij 28,42,42,2:58.260,"50,5",2:04:18.910,12:06:15.689,44,147,24,,FL-59825,0,,M
481,1,Christian Winkgen 1,38,42,3:28.926,"43,1",2:04:24.211,12:06:20.990,35,157,25,,FR-20127,0,,M
482,12,Nici Walde 12,43,43,2:57.267,"50,8",2:04:40.135,12:06:36.914,53,126,23,,RS-39204,0,,F
483,13,Daniel Fenn 13,41,43,2:45.480,"54,4",2:04:44.522,12:06:41.301,44,165,23,,RS-44911,0,,M
484,24,Peter Coppens 24,27,43,3:02.344,"49,4",2:06:13.228,12:08:10.007,43,127,28,,FL-79890,0,,M
485,30,Bo Gustavsson 30,41,43,3:04.967,"48,7",2:06:27.329,12:08:24.108,53,119,28,,CK-85561,0,,M
486,7,Swannette Tempelman 7,35,43,3:47.184,"39,6",2:06:29.363,12:08:26.142,55,171,28,,HL-85304,0,,F
487,41,Hanno Habighorst 41,42,43,3:03.793,49,2:07:01.944,12:08:58.723,54,108,25,,FL-67553,0,,M
488,35,Maarten Sijbrandij 35,34,43,3:44.595,"40,1",2:07:07.096,12:09:03.875,50,187,23,,FX-12737,0,,M
489,28,Ymte Sijbrandij 28,43,43,2:59.580,"50,1",2:07:18.490,12:09:15.269,45,146,23,,FL-59825,0,,M
490,12,Nici Walde 12,44,44,2:45.756,"54,3",2:07:25.891,12:09:22.670,47,126,23,,RS-39204,0,,F
491,13,Daniel Fenn 13,42,44,2:42.498,"55,4",2:07:27.020,12:09:23.799,42,164,23,,RS-44911,0,,M
492,1,Christian Winkgen 1,39,44,3:04.066,"48,9",2:07:28.277,12:09:25.056,28,162,23,,FR-20127,0,,M
493,2,Jan Kranczoch 2,32,44,4:00.172,"37,5",2:07:30.597,12:09:27.376,51,155,23,,RF-87962,0,,M
494,40,Alexander Kamminga 40,33,44,3:59.997,"37,5",2:07:31.498,12:09:28.277,48,146,23,,SW-51561,0,,M
495,4,Jan van Steeg 4,32,44,4:14.869,"35,3",2:08:26.877,12:10:23.656,51,145,26,,RG-75621,0,,M
496,24,Peter Coppens 24,28,44,3:06.765,"48,2",2:09:19.993,12:11:16.772,34,121,26,,FL-79890,0,,M
497,30,Bo Gustavsson 30,42,44,3:04.139,"48,9",2:09:31.468,12:11:28.247,53,118,31,,CK-85561,0,,M
498,41,Hanno Habighorst 41,43,44,3:04.610,"48,8",2:10:06.554,12:12:03.333,50,102,26,,FL-67553,0,,M
499,12,Nici Walde 12,45,45,2:42.024,"55,5",2:10:07.915,12:12:04.694,46,123,26,,RS-39204,0,,F
500,13,Daniel Fenn 13,43,45,2:41.330,"55,8",2:10:08.350,12:12:05.129,44,164,26,,RS-44911,0,,M
501,7,Swannette Tempelman 7,36,45,3:44.473,"40,1",2:10:13.836,12:12:10.615,56,171,26,,HL-85304,0,,F
502,28,Ymte Sijbrandij 28,44,45,2:56.629,51,2:10:15.119,12:12:11.898,45,150,26,,FL-59825,0,,M
503,1,Christian Winkgen 1,40,45,2:47.336,"53,8",2:10:15.613,12:12:12.392,32,164,26,,FR-20127,0,,M
504,6,Bernhard Böhler 6,37,45,16:01.106,"9,4",2:10:26.163,12:12:22.942,51,221,25,,TH-71610,0,,M
505,35,Maarten Sijbrandij 35,35,45,3:51.053,39,2:10:58.149,12:12:54.928,49,188,25,,FX-12737,0,,M
506,2,Jan Kranczoch 2,33,45,3:57.685,"37,9",2:11:28.282,12:13:25.061,55,153,23,,RF-87962,0,,M
507,40,Alexander Kamminga 40,34,45,3:57.594,"37,9",2:11:29.092,12:13:25.871,51,145,23,,SW-51561,0,,M
508,24,Peter Coppens 24,29,45,3:05.718,"48,5",2:12:25.711,12:14:22.490,45,125,24,,FL-79890,0,,M
509,30,Bo Gustavsson 30,43,45,3:04.746,"48,7",2:12:36.214,12:14:32.993,53,117,23,,CK-85561,0,,M
510,4,Jan van Steeg 4,33,45,4:10.560,"35,9",2:12:37.437,12:14:34.216,50,146,23,,RG-75621,0,,M
511,12,Nici Walde 12,46,46,2:46.282,"54,1",2:12:54.197,12:14:50.976,47,124,25,,RS-39204,0,,F
512,13,Daniel Fenn 13,44,46,2:46.227,"54,1",2:12:54.577,12:14:51.356,43,167,25,,RS-44911,0,,M
513,41,Hanno Habighorst 41,44,46,2:52.771,"52,1",2:12:59.325,12:14:56.104,55,106,26,,FL-67553,0,,M
514,28,Ymte Sijbrandij 28,45,46,2:56.716,"50,9",2:13:11.835,12:15:08.614,43,147,25,,FL-59825,0,,M
515,1,Christian Winkgen 1,41,46,3:03.042,"49,2",2:13:18.655,12:15:15.434,35,159,27,,FR-20127,0,,M
516,6,Bernhard Böhler 6,38,46,3:25.302,"43,8",2:13:51.465,12:15:48.244,33,219,24,,TH-71610,0,,M
517,7,Swannette Tempelman 7,37,46,3:42.650,"40,4",2:13:56.486,12:15:53.265,55,171,25,,HL-85304,0,,F
518,35,Maarten Sijbrandij 35,36,46,3:53.785,"38,5",2:14:51.934,12:16:48.713,50,187,25,,FX-12737,0,,M
519,40,Alexander Kamminga 40,35,46,3:54.595,"38,4",2:15:23.687,12:17:20.466,49,133,25,,SW-51561,0,,M
520,2,Jan Kranczoch 2,34,46,3:55.690,"38,2",2:15:23.972,12:17:20.751,50,144,25,,RF-87962,0,,M
521,24,Peter Coppens 24,30,46,3:07.034,"48,1",2:15:32.745,12:17:29.524,41,128,29,,FL-79890,0,,M
522,30,Bo Gustavsson 30,44,46,3:03.944,"48,9",2:15:40.158,12:17:36.937,53,120,29,,CK-85561,0,,M
523,12,Nici Walde 12,47,47,2:48.660,"53,4",2:15:42.857,12:17:39.636,47,124,27,,RS-39204,0,,F
524,13,Daniel Fenn 13,45,47,2:48.704,"53,3",2:15:43.281,12:17:40.060,44,167,27,,RS-44911,0,,M
525,41,Hanno Habighorst 41,45,47,3:01.504,"49,6",2:16:00.829,12:17:57.608,54,106,27,,FL-67553,0,,M
526,28,Ymte Sijbrandij 28,46,47,2:57.068,"50,8",2:16:08.903,12:18:05.682,43,149,26,,FL-59825,0,,M
527,1,Christian Winkgen 1,42,47,3:26.703,"43,5",2:16:45.358,12:18:42.137,34,162,24,,FR-20127,0,,M
528,4,Jan van Steeg 4,34,47,4:11.623,"35,8",2:16:49.060,12:18:45.839,51,147,26,,RG-75621,0,,M
529,6,Bernhard Böhler 6,39,47,3:19.337,"45,1",2:17:10.802,12:19:07.581,33,211,26,,TH-71610,0,,M
530,7,Swannette Tempelman 7,38,47,3:43.221,"40,3",2:17:39.707,12:19:36.486,54,170,25,,HL-85304,0,,F
531,12,Nici Walde 12,48,48,2:46.707,54,2:18:29.564,12:20:26.343,49,126,26,,RS-39204,0,,F
532,13,Daniel Fenn 13,46,48,2:46.954,"53,9",2:18:30.235,12:20:27.014,45,166,26,,RS-44911,0,,M
533,35,Maarten Sijbrandij 35,37,48,3:46.617,"39,7",2:18:38.551,12:20:35.330,49,186,25,,FX-12737,0,,M
534,24,Peter Coppens 24,31,48,3:06.829,"48,2",2:18:39.574,12:20:36.353,43,125,25,,FL-79890,0,,M
535,30,Bo Gustavsson 30,45,48,3:05.450,"48,5",2:18:45.608,12:20:42.387,56,119,25,,CK-85561,0,,M
536,41,Hanno Habighorst 41,46,48,3:05.519,"48,5",2:19:06.348,12:21:03.127,37,109,24,,FL-67553,0,,M
537,28,Ymte Sijbrandij 28,47,48,2:58.118,"50,5",2:19:07.021,12:21:03.800,47,150,24,,FL-59825,0,,M
538,40,Alexander Kamminga 40,36,48,3:50.482,39,2:19:14.169,12:21:10.948,48,135,25,,SW-51561,0,,M
539,2,Jan Kranczoch 2,35,48,3:50.484,39,2:19:14.456,12:21:11.235,53,149,24,,RF-87962,0,,M
540,1,Christian Winkgen 1,43,48,3:31.909,"42,5",2:20:17.267,12:22:14.046,36,157,25,,FR-20127,0,,M
541,6,Bernhard Böhler 6,40,48,3:16.503,"45,8",2:20:27.305,12:22:24.084,33,217,23,,TH-71610,0,,M
542,7,Swannette Tempelman 7,39,48,3:38.620,"41,2",2:21:18.327,12:23:15.106,54,172,26,,HL-85304,0,,F
543,12,Nici Walde 12,49,49,2:48.932,"53,3",2:21:18.496,12:23:15.275,50,128,26,,RS-39204,0,,F
544,13,Daniel Fenn 13,47,49,2:48.613,"53,4",2:21:18.848,12:23:15.627,44,169,26,,RS-44911,0,,M
545,4,Jan van Steeg 4,35,49,4:30.319,"33,3",2:21:19.379,12:23:16.158,56,146,26,,RG-75621,0,,M
546,24,Peter Coppens 24,32,49,3:06.452,"48,3",2:21:46.026,12:23:42.805,42,126,25,,FL-79890,0,,M
547,30,Bo Gustavsson 30,46,49,3:04.876,"48,7",2:21:50.484,12:23:47.263,52,119,26,,CK-85561,0,,M
548,41,Hanno Habighorst 41,47,49,3:02.478,"49,3",2:22:08.826,12:24:05.605,52,105,26,,FL-67553,0,,M
549,28,Ymte Sijbrandij 28,48,49,3:03.159,"49,1",2:22:10.180,12:24:06.959,45,147,26,,FL-59825,0,,M
550,35,Maarten Sijbrandij 35,38,49,3:45.615,"39,9",2:22:24.166,12:24:20.945,49,188,24,,FX-12737,0,,M
551,40,Alexander Kamminga 40,37,49,3:49.773,"39,2",2:23:03.942,12:25:00.721,46,133,24,,SW-51561,0,,M
552,2,Jan Kranczoch 2,36,49,3:49.569,"39,2",2:23:04.025,12:25:00.804,52,150,24,,RF-87962,0,,M
553,6,Bernhard Böhler 6,41,49,3:12.856,"46,7",2:23:40.161,12:25:36.940,39,221,22,,TH-71610,0,,M
554,1,Christian Winkgen 1,44,49,3:29.344,43,2:23:46.611,12:25:43.390,36,162,23,,FR-20127,0,,M
555,12,Nici Walde 12,50,50,2:50.410,"52,8",2:24:08.906,12:26:05.685,51,126,23,,RS-39204,0,,F
556,13,Daniel Fenn 13,48,50,2:50.400,"52,8",2:24:09.248,12:26:06.027,48,172,23,,RS-44911,0,,M
557,24,Peter Coppens 24,33,50,3:06.510,"48,3",2:24:52.536,12:26:49.315,45,128,24,,FL-79890,0,,M
558,30,Bo Gustavsson 30,47,50,3:07.213,"48,1",2:24:57.697,12:26:54.476,51,117,24,,CK-85561,0,,M
559,7,Swannette Tempelman 7,40,50,3:41.136,"40,7",2:24:59.463,12:26:56.242,55,172,24,,HL-85304,0,,F
560,41,Hanno Habighorst 41,48,50,3:01.286,"49,6",2:25:10.112,12:27:06.891,53,103,26,,FL-67553,0,,M
561,28,Ymte Sijbrandij 28,49,50,3:00.646,"49,8",2:25:10.826,12:27:07.605,45,147,26,,FL-59825,0,,M
562,4,Jan van Steeg 4,36,50,4:30.533,"33,3",2:25:49.912,12:27:46.691,53,149,23,,RG-75621,0,,M
563,35,Maarten Sijbrandij 35,39,50,3:52.940,"38,6",2:26:17.106,12:28:13.885,51,188,25,,FX-12737,0,,M
564,6,Bernhard Böhler 6,42,50,3:16.140,"45,9",2:26:56.301,12:28:53.080,38,213,23,,TH-71610,0,,M
565,13,Daniel Fenn 13,49,50,2:47.891,"53,6",2:26:57.139,12:28:53.918,47,171,23,,RS-44911,0,,M
566,12,Nici Walde 12,51,51,2:48.499,"53,4",2:26:57.405,12:28:54.184,47,122,23,,RS-39204,0,,F
567,1,Christian Winkgen 1,45,51,3:12.213,"46,8",2:26:58.824,12:28:55.603,35,161,23,,FR-20127,0,,M
568,2,Jan Kranczoch 2,37,51,3:56.496,"38,1",2:27:00.521,12:28:57.300,53,156,25,,RF-87962,0,,M
569,40,Alexander Kamminga 40,38,51,3:57.975,"37,8",2:27:01.917,12:28:58.696,50,145,25,,SW-51561,0,,M
570,24,Peter Coppens 24,34,51,3:09.474,"47,5",2:28:02.010,12:29:58.789,46,127,24,,FL-79890,0,,M
571,41,Hanno Habighorst 41,49,51,2:56.944,"50,9",2:28:07.056,12:30:03.835,54,105,24,,FL-67553,0,,M
572,28,Ymte Sijbrandij 28,50,51,2:57.297,"50,8",2:28:08.123,12:30:04.902,44,147,24,,FL-59825,0,,M
573,30,Bo Gustavsson 30,48,51,3:12.227,"46,8",2:28:09.924,12:30:06.703,56,120,24,,CK-85561,0,,M
574,7,Swannette Tempelman 7,41,51,3:43.069,"40,3",2:28:42.532,12:30:39.311,57,171,23,,HL-85304,0,,F
575,13,Daniel Fenn 13,50,51,2:35.237,58,2:29:32.376,12:31:29.155,45,166,23,,RS-44911,0,,M
576,12,Nici Walde 12,52,52,2:47.950,"53,6",2:29:45.355,12:31:42.134,50,126,25,,RS-39204,0,,F
577,1,Christian Winkgen 1,46,52,2:46.882,"53,9",2:29:45.706,12:31:42.485,37,166,25,,FR-20127,0,,M
578,4,Jan van Steeg 4,37,52,4:13.700,"35,5",2:30:03.612,12:32:00.391,52,147,25,,RG-75621,0,,M
579,35,Maarten Sijbrandij 35,40,52,3:47.040,"39,6",2:30:04.146,12:32:00.925,50,182,25,,FX-12737,0,,M
580,6,Bernhard Böhler 6,43,52,3:12.825,"46,7",2:30:09.126,12:32:05.905,34,217,25,,TH-71610,0,,M
581,40,Alexander Kamminga 40,39,52,3:52.740,"38,7",2:30:54.657,12:32:51.436,51,146,25,,SW-51561,0,,M
582,2,Jan Kranczoch 2,38,52,3:54.412,"38,4",2:30:54.933,12:32:51.712,56,151,25,,RF-87962,0,,M
583,41,Hanno Habighorst 41,50,52,2:59.200,"50,2",2:31:06.256,12:33:03.035,55,102,25,,FL-67553,0,,M
584,28,Ymte Sijbrandij 28,51,52,2:58.478,"50,4",2:31:06.601,12:33:03.380,48,150,25,,FL-59825,0,,M
585,24,Peter Coppens 24,35,52,3:07.867,"47,9",2:31:09.877,12:33:06.656,45,127,25,,FL-79890,0,,M
586,30,Bo Gustavsson 30,49,52,3:13.964,"46,4",2:31:23.888,12:33:20.667,57,118,24,,CK-85561,0,,M
587,13,Daniel Fenn 13,51,52,2:43.154,"55,2",2:32:15.530,12:34:12.309,46,165,25,,RS-44911,0,,M
588,7,Swannette Tempelman 7,42,52,3:41.202,"40,7",2:32:23.734,12:34:20.513,55,173,25,,HL-85304,0,,F
589,12,Nici Walde 12,53,53,2:53.507,"51,9",2:32:38.862,12:34:35.641,47,126,26,,RS-39204,0,,F
590,1,Christian Winkgen 1,47,53,3:12.673,"46,7",2:32:58.379,12:34:55.158,36,164,27,,FR-20127,0,,M
591,6,Bernhard Böhler 6,44,53,3:16.386,"45,8",2:33:25.512,12:35:22.291,37,217,24,,TH-71610,0,,M
592,35,Maarten Sijbrandij 35,41,53,3:53.031,"38,6",2:33:57.177,12:35:53.956,51,187,23,,FX-12737,0,,M
593,28,Ymte Sijbrandij 28,52,53,2:57.853,"50,6",2:34:04.454,12:36:01.233,47,149,23,,FL-59825,0,,M
594,41,Hanno Habighorst 41,51,53,2:59.939,50,2:34:06.195,12:36:02.974,54,112,23,,FL-67553,0,,M
595,24,Peter Coppens 24,36,53,3:12.724,"46,7",2:34:22.601,12:36:19.380,43,125,24,,FL-79890,0,,M
596,4,Jan van Steeg 4,38,53,4:20.422,"34,6",2:34:24.034,12:36:20.813,54,146,24,,RG-75621,0,,M
597,30,Bo Gustavsson 30,50,53,3:12.024,"46,9",2:34:35.912,12:36:32.691,54,119,24,,CK-85561,0,,M
598,40,Alexander Kamminga 40,40,53,3:51.378,"38,9",2:34:46.035,12:36:42.814,48,146,25,,SW-51561,0,,M
599,2,Jan Kranczoch 2,39,53,3:51.327,"38,9",2:34:46.260,12:36:43.039,54,154,25,,RF-87962,0,,M
600,13,Daniel Fenn 13,52,53,2:44.257,"54,8",2:34:59.787,12:36:56.566,44,164,26,,RS-44911,0,,M
601,12,Nici Walde 12,54,54,2:58.672,"50,4",2:35:37.534,12:37:34.313,48,125,30,,RS-39204,0,,F
602,7,Swannette Tempelman 7,43,54,3:46.790,"39,7",2:36:10.524,12:38:07.303,55,173,26,,HL-85304,0,,F
603,1,Christian Winkgen 1,48,54,3:24.327,44,2:36:22.706,12:38:19.485,36,159,26,,FR-20127,0,,M
604,6,Bernhard Böhler 6,45,54,3:23.857,"44,1",2:36:49.369,12:38:46.148,39,213,25,,TH-71610,0,,M
605,28,Ymte Sijbrandij 28,53,54,3:00.015,50,2:37:04.469,12:39:01.248,45,149,25,,FL-59825,0,,M
606,41,Hanno Habighorst 41,52,54,3:02.997,"49,2",2:37:09.192,12:39:05.971,47,109,26,,FL-67553,0,,M
607,24,Peter Coppens 24,37,54,3:14.631,"46,2",2:37:37.232,12:39:34.011,39,125,32,,FL-79890,0,,M
608,13,Daniel Fenn 13,53,54,2:43.228,"55,1",2:37:43.015,12:39:39.794,41,165,32,,RS-44911,0,,M
609,35,Maarten Sijbrandij 35,42,54,3:46.357,"39,8",2:37:43.534,12:39:40.313,47,188,32,,FX-12737,0,,M
610,30,Bo Gustavsson 30,51,54,3:08.844,"47,7",2:37:44.756,12:39:41.535,51,118,32,,CK-85561,0,,M
611,12,Nici Walde 12,55,55,2:57.239,"50,8",2:38:34.773,12:40:31.552,40,122,37,,RS-39204,0,,F
612,2,Jan Kranczoch 2,40,55,3:55.016,"38,3",2:38:41.276,12:40:38.055,45,154,44,,RF-87962,0,,M
613,40,Alexander Kamminga 40,41,55,3:56.270,"38,1",2:38:42.305,12:40:39.084,35,143,41,,SW-51561,0,,M
614,4,Jan van Steeg 4,39,55,4:53.904,"30,6",2:39:17.938,12:41:14.717,50,145,50,,RG-75621,0,,M
615,1,Christian Winkgen 1,49,55,3:26.333,"43,6",2:39:49.039,12:41:45.818,35,161,30,,FR-20127,0,,M
616,7,Swannette Tempelman 7,44,55,3:41.934,"40,6",2:39:52.458,12:41:49.237,53,171,30,,HL-85304,0,,F
617,6,Bernhard Böhler 6,46,55,3:15.577,46,2:40:04.946,12:42:01.725,33,207,32,,TH-71610,0,,M
618,28,Ymte Sijbrandij 28,54,55,3:01.665,"49,5",2:40:06.134,12:42:02.913,44,149,32,,FL-59825,0,,M
619,41,Hanno Habighorst 41,53,55,3:11.285,"47,1",2:40:20.477,12:42:17.256,40,103,26,,FL-67553,0,,M
620,13,Daniel Fenn 13,54,55,2:42.303,"55,5",2:40:25.318,12:42:22.097,39,165,34,,RS-44911,0,,M
621,24,Peter Coppens 24,38,55,3:13.453,"46,5",2:40:50.685,12:42:47.464,45,124,24,,FL-79890,0,,M
622,30,Bo Gustavsson 30,52,55,3:09.045,"47,6",2:40:53.801,12:42:50.580,57,119,24,,CK-85561,0,,M
623,35,Maarten Sijbrandij 35,43,55,3:41.466,"40,6",2:41:25.000,12:43:21.779,50,187,26,,FX-12737,0,,M
624,12,Nici Walde 12,56,56,2:55.144,"51,4",2:41:29.917,12:43:26.696,48,125,25,,RS-39204,0,,F
625,2,Jan Kranczoch 2,41,56,3:55.277,"38,3",2:42:36.553,12:44:33.332,53,151,25,,RF-87962,0,,M
626,40,Alexander Kamminga 40,42,56,3:55.060,"38,3",2:42:37.365,12:44:34.144,50,144,25,,SW-51561,0,,M
627,13,Daniel Fenn 13,55,56,2:37.512,"57,1",2:43:02.830,12:44:59.609,40,164,26,,RS-44911,0,,M
628,28,Ymte Sijbrandij 28,55,56,2:59.801,"50,1",2:43:05.935,12:45:02.714,44,147,28,,FL-59825,0,,M
629,1,Christian Winkgen 1,50,56,3:23.663,"44,2",2:43:12.702,12:45:09.481,26,161,29,,FR-20127,0,,M
630,6,Bernhard Böhler 6,47,56,3:11.456,47,2:43:16.402,12:45:13.181,29,217,27,,TH-71610,0,,M
631,41,Hanno Habighorst 41,54,56,3:09.035,"47,6",2:43:29.512,12:45:26.291,50,103,27,,FL-67553,0,,M
632,7,Swannette Tempelman 7,45,56,3:39.669,41,2:43:32.127,12:45:28.906,55,170,27,,HL-85304,0,,F
633,24,Peter Coppens 24,39,56,3:13.806,"46,4",2:44:04.491,12:46:01.270,38,125,28,,FL-79890,0,,M
634,30,Bo Gustavsson 30,53,56,3:12.814,"46,7",2:44:06.615,12:46:03.394,54,118,27,,CK-85561,0,,M
635,12,Nici Walde 12,57,57,2:54.617,"51,5",2:44:24.534,12:46:21.313,46,123,26,,RS-39204,0,,F
636,35,Maarten Sijbrandij 35,44,57,3:46.150,"39,8",2:45:11.150,12:47:07.929,47,185,26,,FX-12737,0,,M
637,13,Daniel Fenn 13,56,57,2:41.556,"55,7",2:45:44.386,12:47:41.165,43,165,24,,RS-44911,0,,M
638,28,Ymte Sijbrandij 28,56,57,3:02.523,"49,3",2:46:08.458,12:48:05.237,45,150,26,,FL-59825,0,,M
639,40,Alexander Kamminga 40,43,57,3:46.762,"39,7",2:46:24.127,12:48:20.906,47,141,28,,SW-51561,0,,M
640,2,Jan Kranczoch 2,42,57,3:47.887,"39,5",2:46:24.440,12:48:21.219,51,150,28,,RF-87962,0,,M
641,6,Bernhard Böhler 6,48,57,3:09.397,"47,5",2:46:25.799,12:48:22.578,31,213,28,,TH-71610,0,,M
642,1,Christian Winkgen 1,51,57,3:28.425,"43,2",2:46:41.127,12:48:37.906,35,154,28,,FR-20127,0,,M
643,41,Hanno Habighorst 41,55,57,3:12.672,"46,7",2:46:42.184,12:48:38.963,52,107,28,,FL-67553,0,,M
644,7,Swannette Tempelman 7,46,57,3:40.760,"40,8",2:47:12.887,12:49:09.666,54,171,25,,HL-85304,0,,F
645,12,Nici Walde 12,58,58,2:51.659,"52,4",2:47:16.193,12:49:12.972,49,123,25,,RS-39204,0,,F
646,24,Peter Coppens 24,40,58,3:13.986,"46,4",2:47:18.477,12:49:15.256,38,126,26,,FL-79890,0,,M
647,30,Bo Gustavsson 30,54,58,3:14.151,"46,4",2:47:20.766,12:49:17.545,54,117,26,,CK-85561,0,,M
