#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
74,12,Nici Walde 12,6,6,2:55.229,"51,4",18:05.622,10:20:02.401,50,128,24,,RS-39204,0,,F
75,41,Hanno Habighorst 41,6,6,3:01.013,"49,7",18:14.838,10:20:11.617,48,105,26,,FL-67553,0,,M
76,30,Bo Gustavsson 30,6,6,3:04.898,"48,7",18:27.996,10:20:24.775,52,121,27,,CK-85561,0,,M
77,35,Maarten Sijbrandij 35,5,6,3:31.856,"42,5",18:29.863,10:20:26.642,49,188,28,,FX-12737,0,,M
78,40,Alexander Kamminga 40,5,6,3:51.924,"38,8",19:00.217,10:20:56.996,47,144,24,,SW-51561,0,,M
79,4,Jan van Steeg 4,5,6,3:52.085,"38,8",19:00.749,10:20:57.528,52,146,24,,RG-75621,0,,M
80,24,Peter Coppens 24,6,6,3:08.124,"47,8",19:02.077,10:20:58.856,44,126,24,,FL-79890,0,,M
81,1,Christian Winkgen 1,6,6,3:08.714,"47,7",19:08.776,10:21:05.555,39,159,25,,FR-20127,0,,M
82,6,Bernhard Böhler 6,6,6,3:08.340,"47,8",19:10.276,10:21:07.055,38,215,25,,TH-71610,0,,M
83,13,Daniel Fenn 13,3,6,13:03.898,"11,5",19:25.370,10:21:22.149,63,173,26,,RS-44911,0,,M
84,2,Jan Kranczoch 2,5,6,4:01.804,"37,2",20:25.953,10:22:22.732,54,154,24,,RF-87962,0,,M
85,7,Swannette Tempelman 7,6,6,3:28.780,"43,1",20:43.245,10:22:40.024,56,171,26,,HL-85304,0,,F
86,28,Ymte Sijbrandij 28,7,7,2:58.740,"50,4",20:56.042,10:22:52.821,44,147,25,,FL-59825,0,,M
87,12,Nici Walde 12,7,7,2:55.536,"51,3",21:01.158,10:22:57.937,48,128,26,,RS-39204,0,,F
88,41,Hanno Habighorst 41,7,7,3:03.756,49,21:18.594,10:23:15.373,46,108,28,,FL-67553,0,,M
89,30,Bo Gustavsson 30,7,7,3:03.449,"49,1",21:31.445,10:23:28.224,54,122,25,,CK-85561,0,,M
90,35,Maarten Sijbrandij 35,6,7,3:39.002,"41,1",22:08.865,10:24:05.644,50,188,27,,FX-12737,0,,M
91,24,Peter Coppens 24,7,7,3:08.452,"47,8",22:10.529,10:24:07.308,42,127,27,,FL-79890,0,,M
